,id,name,album,album_id,artists,artist_ids,track_number,disc_number,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,year,release_date,popularity
0,2pk8nZWZqvHvPc8gzDflG4,Sorry About That,Goddamnit!,7MtJrKwP2h9eJMqnooR6iM,['Alkaline Trio'],['1aEYCT7t18aM3VvM6y8oVR'],12,1,False,0.359,0.292,9,-11.363,1,0.0317,0.887,0.000266,0.133,0.327,67.68,199640,4.0,1998,1998-10-09,26
1,7FB9IVMZZlIPoVxQm5EWpS,Tear Off Your Own Head (It's A Doll Revolution),Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],1,1,False,0.442,0.79,9,-6.3320000000000025,1,0.0356,0.000144,0.0,0.3829999999999999,0.7490000000000001,147.185,237427,4.0,2003,2003-09-23,15
2,3OTKJZGz7RF0kRDZF0y8NP,Stealing Rosemary,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],2,1,False,0.507,0.83,9,-5.675,0,0.0347,0.00188,2.29e-05,0.262,0.8190000000000001,152.351,212400,4.0,2003,2003-09-23,18
3,3i6CQT8KiVCsFUs620s0oJ,Something That You Said - Jeremy Wheatley Mix,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],3,1,False,0.575,0.68,6,-5.702000000000001,1,0.03,0.0472,0.0010199999999999,0.0944,0.239,106.992,256000,4.0,2003,2003-09-23,26
4,0KdDz0A448duWpNhsW6Fie,Ask Me No Questions,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],4,1,False,0.59,0.498,6,-6.672999999999999,1,0.0258,0.1009999999999999,1.26e-05,0.105,0.278,107.203,206107,4.0,2003,2003-09-23,15
5,7m6d2iqM9KtbVmw2aGbpYy,The Rain Song,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],5,1,False,0.4629999999999999,0.638,6,-4.964,0,0.0346,0.00536,2.07e-06,0.107,0.552,133.237,221067,4.0,2003,2003-09-23,7
6,6juwHlykZqisioPQ59LZhz,Nickel Romeo,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],6,1,False,0.52,0.762,2,-6.026,1,0.0266,0.0292,0.000226,0.22,0.547,92.158,297267,4.0,2003,2003-09-23,19
7,766Mc02eTetq61oRytPPYR,Ride The Ride,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],7,1,False,0.4379999999999999,0.8170000000000001,0,-5.794,1,0.0335,0.00349,0.00867,0.0968,0.498,149.12,288360,4.0,2003,2003-09-23,7
8,39hJ7RwNn2hgv5oGAksAOF,I Will Take Care Of You,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],8,1,False,0.503,0.407,1,-6.643,1,0.0264,0.375,1.45e-06,0.0769,0.324,139.882,236867,4.0,2003,2003-09-23,16
9,6Yjm7Pq87d7suTvMMT4qkx,Here Right Now,Doll Revolution,2sYyYuLaLorfDy5cWBcGYD,['The Bangles'],['51l0uqRxGaczYr4271pVIC'],9,1,False,0.5920000000000001,0.763,4,-5.218,1,0.0289999999999999,0.0169,0.0,0.11,0.6940000000000001,128.188,204800,4.0,2003,2003-09-23,23
